FirstName,SecondName,ThirdName,LastName,IndividualAlias
Margit Stumpp,,,,
Renata Alt,,,,Renata Altová 
Vladimir Burmatov,,,,"Бурматов Володимир Володимирович , Vladimir Boermatov , Vladimir Burmatov , Владимир Бурматов "
Azat Arshakyan,,,,
Davit Harutyunyan,,,,
Mikael Harutyunyan,,,,
Grigor Harutiunyan,,,,
Hamlet Harutyunyan,,,,"Арутюнян  Гамлет Микаелович , Համլետ Միքայելի Հարությունյան , Гамлет Микаелович Арутюнян , Համլետ Հարությոնյան "
Vagharshak Harutiunyan,,,,
Armen Harutyunyan,,,,
Aram Harutiunyan,,,,"Арам Хачикович Арутюнян , Արամ Հարությունյան , Арутюнян  Арам Хачикович , Aram Hatsjikovitsj Aroetjunjan , Արամ Խաչիկի Հարությունյան "
Abdou Harouna,,,,
Artykbaev Osmonbek Mambetzhanovich,,,,"Osmonbek Artykbayev , Артыкбаев Осмонбек Мамбетжанович , Осмонбек Артыкбаев , Осмонбек Мамбетжанович Артыкбаев "
Yuriy Artemenko,,,,
Gurgen Arsenyan,,,,"Գուրգեն Արսենյան , Арсенян  Гурген Бабкенович , گورگن آرسنیان , Гурген Бабкенович Арсенян , Գուրգեն Բաբկենի Արսենյան "
Ashot Arsenyan,,,,"Աշոտ Արսենյան , Աշոտ Եղիշեի Արսենյան , Арсенян  Ашот Егишеевич , Ашот Егишеевич Арсенян "
Nurulislam Arkallayev,,,,
Martin Hebner,,,,
Filemon Vela,,,,"فیلمون ولا , Filemon Vela junior , Vela  Filemon , Filemon Vela  Jr. , フィーレマン・ベラ "
Viviana Beccalossi,,,,
Vittorio Tarditi,,,,
Vincent Biruta,,,,
Vittorio Poma,,,,
Vittorio Messa,,,,
Vittorio Casarin,,,,
Ahmed Tidiane Souaré,,,,
Vittoria Franco,,,,
Vito Damiano,,,,
Ahmad Shuja Pasha,,,,
Ahmed Shobair,,,,
"Randy K. Weber, Sr.",,,,"راندي ويبر , Randy Weber , Weber  Randy , رندی وبر , 蘭迪·韋伯 , ランディー・ウィーバー , Рэнди Вебер "
"John Nash, Baron Nash",,,,
Roger Williams,,,,"Williams  Roger , ロジャー・ウィリアムズ , 羅傑·威廉斯 , Роджер Уильямс , روجر وليامز , רוג'ר ויליאמס , راجر ویلیامز "
Virginio Merola,,,,
Beto O'Rourke,,,,"بيتو أوروك , Бето О’Рурк , O’Rourke  Beto , بت اورورک , বেতো ও'রোর্ক , Beto O'Rourke , 貝托·歐洛克 , בטו או'רורק , ベト・オルーク "
